Company name,Job post duration,Rating
Oracle,3d,3.7
"Shell Business operations, Chennai",2d,4.1
PayPal,1d,4
Builder.ai - What would you Build?,25d,3.6
Nutanix,8d,3.9
Ericsson-Worldwide,16d,4
Gainsight,20d,4.4
Appirio,15d,4.1
Integral Ad Science,18d,3.5
Bayer,3d,4.1
